id,x_min,y_min,x_max,y_max,과수,논,밭,시설,전체,평균_과수_면적,평균_논_면적,평균_밭_면적,평균_시설_면적,전체_평균면적,총_과수_면적,총_논_면적,총_밭_면적,총_시설_면적,전체_면적_합,factory_n,factory_area_mean,factory_area_sum,factory_bulit_area_mean,factory_bulit_area_sum,reservoir_area_ha_mean,reservoir_area_ha_sum,reservoir_store_km3_mean,reservoir_store_km3_sum,factory_irrigation_mean,factory_irrigation_sum,factory_fure_irrigation_mean,factory_fure_irrigation_sum
43354,128.7710383807018,36.017234195774115,128.77214901953752,36.018133517380036,3,0,2,0,5,1516.736879345,0,122.9746088185,0,1639.7114881635,4550.210638035,0,245.949217637,0,4796.159855672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43356,128.77325965837326,36.017234195774115,128.77437029720897,36.018133517380036,0,0,2,0,2,0,0,504.98022265454995,0,504.98022265454995,0,0,1009.9604453091,0,1009.9604453091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43358,128.77548093604472,36.017234195774115,128.77659157488043,36.018133517380036,1,0,2,0,3,2371.8642624,0,161.1395514426,0,2533.0038138426,2371.8642624,0,322.2791028852,0,2694.1433652852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43360,128.77770221371617,36.017234195774115,128.77881285255188,36.018133517380036,3,0,0,0,3,673.490584395,0,0,0,673.490584395,2020.471753185,0,0,0,2020.471753185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43369,128.7876979632377,36.017234195774115,128.78880860207343,36.018133517380036,1,0,0,0,1,3073.77407551,0,0,0,3073.77407551,3073.77407551,0,0,0,3073.77407551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43370,128.78880860207343,36.017234195774115,128.78991924090914,36.018133517380036,1,0,1,0,2,1632.47275511,0,554.681707847,0,2187.154462957,1632.47275511,0,554.681707847,0,2187.154462957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43371,128.78991924090914,36.017234195774115,128.79102987974488,36.018133517380036,2,0,0,0,2,2757.466183225,0,0,0,2757.466183225,5514.93236645,0,0,0,5514.93236645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43373,128.7921405185806,36.017234195774115,128.79325115741634,36.018133517380036,1,0,1,0,2,6834.50389466,0,897.590441394,0,7732.0943360539995,6834.50389466,0,897.590441394,0,7732.0943360539995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43374,128.79325115741634,36.017234195774115,128.79436179625205,36.018133517380036,0,0,1,0,1,0,0,2636.50826849,0,2636.50826849,0,0,2636.50826849,0,2636.50826849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43375,128.79436179625205,36.017234195774115,128.7954724350878,36.018133517380036,0,0,1,0,1,0,0,15788.2419886,0,15788.2419886,0,0,15788.2419886,0,15788.2419886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43376,128.7954724350878,36.017234195774115,128.7965830739235,36.018133517380036,0,0,1,0,1,0,0,317.037129782,0,317.037129782,0,0,317.037129782,0,317.037129782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43384,128.8043575457736,36.017234195774115,128.8054681846093,36.018133517380036,3,0,3,0,6,1852.0648503,0,1050.6434615523333,0,2902.7083118523333,5556.194550900001,0,3151.9303846569996,0,8708.124935557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43401,128.82323840598093,36.017234195774115,128.82434904481667,36.018133517380036,0,0,1,0,1,0,0,560.82312787,0,560.82312787,0,0,560.82312787,0,560.82312787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43402,128.82434904481667,36.017234195774115,128.82545968365238,36.018133517380036,0,0,2,0,2,0,0,516.2776869059,0,516.2776869059,0,0,1032.5553738118,0,1032.5553738118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43409,128.83212351666674,36.017234195774115,128.83323415550248,36.018133517380036,0,2,2,0,4,0,2030.28994728,1280.351331868,0,3310.6412791479997,0,4060.57989456,2560.702663736,0,6621.2825582959995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43410,128.83323415550248,36.017234195774115,128.8343447943382,36.018133517380036,1,0,5,0,6,2099.8689605,0,1751.781402878,0,3851.6503633780003,2099.8689605,0,8758.907014389999,0,10858.775974889999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43411,128.8343447943382,36.017234195774115,128.83545543317393,36.018133517380036,0,1,0,0,1,0,1587.29786492,0,0,1587.29786492,0,1587.29786492,0,0,1587.29786492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43412,128.83545543317393,36.017234195774115,128.83656607200965,36.018133517380036,0,1,4,1,6,0,1767.94712153,592.25830405925,113.136121476,2473.34154706525,0,1767.94712153,2369.033216237,113.136121476,4250.116459243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43413,128.83656607200965,36.017234195774115,128.8376767108454,36.018133517380036,1,0,0,0,1,1957.72107093,0,0,0,1957.72107093,1957.72107093,0,0,0,1957.72107093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43414,128.8376767108454,36.017234195774115,128.8387873496811,36.018133517380036,0,0,1,0,1,0,0,1235.34041568,0,1235.34041568,0,0,1235.34041568,0,1235.34041568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43415,128.8387873496811,36.017234195774115,128.83989798851684,36.018133517380036,0,3,3,0,6,0,805.5366924,1412.3921129,0,2217.9288053,0,2416.6100772,4237.1763387,0,6653.7864159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
